id:ID,name,inception,country,:LABEL
Q107391650,International Exhibition of Nothing,2015-07-13T00:00:00Z,Italy,Art
Q935292,Neo-Dada,,,Art
Q152778,Die Brücke,1905-06-07T00:00:00Z,Germany,Art
Q1089243,Leonardeschi,,,Art
Q19924943,Crucifixion,1846-01-01T00:00:00Z,,Art
Q98833586,Licorne Eiffel,2009-01-01T00:00:00Z,France,Art
Q5308687,Drowning Girl,1963-01-01T00:00:00Z,United States,Art
Q135120194,anime/manga style,,,Art
Q11293927,Chaos Lounge,,,Art
Q1137000,COUM Transmissions,1969-01-01T00:00:00Z,,Art
Q276308,Nouveau réalisme,1960-01-01T00:00:00Z,,Art
Q4736321,altermodern,2009-01-01T00:00:00Z,,Art
Q17089653,feminist art movement,,,Art
Q5637365,Hackney Flashers,1974-01-01T00:00:00Z,United Kingdom,Art
Q1745141,Fantastic Realism,1960-01-01T00:00:00Z,Germany,Art
Q180902,socialist realism,1932-01-01T00:00:00Z,Soviet Union,Art
Q4692,Renaissance,,,Art
Q8253,fiction,,,Art
Q17514,graffiti,,,Art
Q37068,Romanticism,,,Art
Q134147,pop art,1950-01-01T00:00:00Z,,Art
Q10758373,Em Thúy,1943-01-01T00:00:00Z,Vietnam,Art
Q57173928,abject art,1980-01-01T00:00:00Z,,Art
Q203209,conceptual art,1960-01-01T00:00:00Z,,Art
Q4975620,Brotherhood of Ruralists,1975-01-01T00:00:00Z,United Kingdom,Art
Q768100,Lettrism,1945-01-01T00:00:00Z,,Art
Q12539,Age of Enlightenment,,,Art
Q113262,Young man in Mayo costume,1863-01-01T00:00:00Z,United States,Art
Q10336205,neo-concrete movement,1950-01-01T00:00:00Z,Brazil,Art
Q6034,Dada,1910-01-01T00:00:00Z,,Art
Q18549884,Leaving Home,1907-01-01T00:00:00Z,United States,Art
Q39427,Surrealism,1920-01-01T00:00:00Z,,Art
Q1382662,Poetism,1923-01-01T00:00:00Z,Czechoslovakia,Art
Q20529219,SOUP '69,1969-01-01T00:00:00Z,Estonia,Art
Q108822660,Bohdisattva Avalokiteśvara with Thousand Eyes and Thousand Hands statues,,,Art
Q207445,De Stijl,1917-01-01T00:00:00Z,Netherlands,Art
Q1444581,Superflat,2000-01-01T00:00:00Z,Japan,Art
Q118319446,Palm Springs (Schifano),1978-01-01T00:00:00Z,,Art
Q65600643,Death of Saint Cecilia,1613-01-01T00:00:00Z,,Art
Q110705435,Women's Art Movement,,Australia,Art
Q34636,Art Nouveau,1890-01-01T00:00:00Z,,Art
Q108908,Fluxus,1960-01-01T00:00:00Z,,Art
Q10336318,neo-primitivism,1913-01-01T00:00:00Z,Russian Empire,Art
Q40415,Impressionism,1860-01-01T00:00:00Z,,Art
Q16058160,Afrapix,1982-01-01T00:00:00Z,South Africa,Art
Q37853,Baroque,,,Art
Q38066,existentialism,,,Art
Q42934,Cubism,1907-01-01T00:00:00Z,France,Art
Q38166,modern art,,,Art
Q106249653,Male Portrait,1930-04-01T00:00:00Z,,Art
Q106049514,Portrait of Marian Radecki,1938-02-06T00:00:00Z,,Art
Q105949919,Portrait of Zofia Jagodowska,1931-10-03T00:00:00Z,,Art
Q105930265,Portrait of Michał Białynicki-Birula,1930-12-27T00:00:00Z,,Art
Q105925636,Portrait of Stanisława Totwen,1930-10-30T00:00:00Z,,Art
Q105927896,Portrait of Helena Białynicka-Birula,1930-04-30T00:00:00Z,,Art
Q105925633,Portrait of Nena Stachurska,1930-03-31T00:00:00Z,,Art
Q105927897,Portrait of Stefan Totwen,1930-03-31T00:00:00Z,,Art
Q105925642,Portrait of Zofia Jagodowska,1930-01-31T00:00:00Z,,Art
Q105925622,Portrait of Helena Białynicka-Birula,1930-01-14T00:00:00Z,,Art
Q105930412,Portrait of Edwarda Szmuglarowska,1930-02-25T00:00:00Z,,Art
Q105930312,Portrait of Nena Stachurska,1929-10-12T00:00:00Z,,Art
Q105949911,Portrait of Michał Choromański,1930-05-01T00:00:00Z,,Art
Q105949920,Portrait of Zofia Krzeptowska,1930-04-01T00:00:00Z,,Art
Q105949915,"Portrait of Nena Stachurska, ""The Thaw of the Face""",1930-02-01T00:00:00Z,,Art
Q105949912,Portrait of Modesta Zwolińska,1929-10-19T00:00:00Z,,Art
Q106049481,Portrait of Helena Białynicka-Birula,1931-10-03T00:00:00Z,,Art
Q106049606,Portrait of Michał Choromański,1931-10-03T00:00:00Z,,Art
Q106049478,Portrait of Helena Białynicka-Birula,1931-01-01T00:00:00Z,,Art
Q106049631,Portrait of Zofia Jagodowska,1931-01-01T00:00:00Z,,Art
Q106049489,Portrait of Helena Białynicka-Birula,1930-10-05T00:00:00Z,,Art
Q106049483,Portrait of Helena Białynicka-Birula,1930-10-03T00:00:00Z,,Art
Q105949916,"Portrait of Małgorzata Wanda Żukotyńska, ""Sphinx""",1928-02-01T00:00:00Z,,Art
Q105925630,Portrait of Włodzimierz Nawrocki,1926-11-30T00:00:00Z,,Art
Q106049243,Portrait of Helena Białynicka-Birula,1930-09-02T00:00:00Z,,Art
Q106049616,Portrait of Stanisław Totwen,1933-02-01T00:00:00Z,,Art
Q106049441,Composition - Lady Macbeth,1933-01-07T00:00:00Z,,Art
Q106049236,Portrait of Helena Białynicka-Birula,1930-03-01T00:00:00Z,,Art
Q106049241,Portrait of Helena Białynicka-Birula,1930-03-01T00:00:00Z,,Art
