id:ID,name,inception,country,:LABEL
Q17176916,cuisine of Brussels,,Belgium,Cuisine
Q1068545,Irish cuisine,,,Cuisine
Q15809899,Flemish cuisine,,Belgium,Cuisine
Q622512,Spanish cuisine,,Spain,Cuisine
Q10876842,Chinese cuisine,,Taiwan,Cuisine
Q792312,cuisine of Belgium,,Belgium,Cuisine
Q1988266,Dutch cuisine,,Netherlands,Cuisine
Q8963561,Indian Chinese cuisine,,India,Cuisine
Q136703,Peranakan cuisine,,,Cuisine
Q56299555,cuisine of Wallonia,,Belgium,Cuisine
Q265309,Romanian cuisine,,Romania,Cuisine
Q192087,Indian cuisine,,India,Cuisine
Q40578,cuisine of the United States,,United States,Cuisine
Q3006971,Pied-noir cuisine,,,Cuisine
Q386284,African cuisine,,,Cuisine
Q954489,Slovak cuisine,,Slovakia,Cuisine
Q5192807,Sephardic Jewish cuisine,,,Cuisine
Q6165227,Javanese cuisine,,,Cuisine
Q6741543,Malay cuisine,,,Cuisine
Q109673525,New Basque cuisine,1976-01-01T00:00:00Z,Spain,Cuisine
Q4467387,Japanese Chinese cuisine,,Japan,Cuisine
Q133040497,Jewish cuisine in Aleppo,,,Cuisine
Q6661,French cuisine,,France,Cuisine
Q7058590,Northern Irish cuisine,,United Kingdom,Cuisine
Q1154594,Palestinian cuisine,,Palestine,Cuisine
Q934309,Mediterranean cuisine,,,Cuisine
Q207965,Mexican cuisine,,Mexico,Cuisine
Q969579,Cajun cuisine,,,Cuisine
Q1328358,Cuban cuisine,,Cuba,Cuisine
Q234138,Japanese cuisine,,Japan,Cuisine
Q264327,Hungarian cuisine,,Hungary,Cuisine
Q654493,Turkish cuisine,,Turkey,Cuisine
Q3006862,Acadian cuisine,,Canada,Cuisine
Q3006978,cuisine of Quebec,,Canada,Cuisine
Q192786,Italian cuisine,,Italy,Cuisine
Q117005441,Transylvanian Saxon cuisine,,Romania,Cuisine
Q42029,Austrian cuisine,,Austria,Cuisine
Q180817,Portuguese cuisine,,Portugal,Cuisine
Q47629,German cuisine,,Germany,Cuisine
Q871595,Czech cuisine,,Czech Republic,Cuisine
Q1246463,Maltese cuisine,,Malta,Cuisine
