id:ID,name,inception,country_of_origin,:LABEL
Q188994,drum and bass,1992-01-01T00:00:00Z,United Kingdom,Genre
Q181014,fugue,,,Genre
Q205049,world music,,,Genre
Q216926,raga,,,Genre
Q209137,post-rock,1995-01-01T00:00:00Z,United States,Genre
Q186170,doom metal,1980-01-01T00:00:00Z,United Kingdom,Genre
Q211418,British Invasion,,,Genre
Q188539,glam metal,1979-01-01T00:00:00Z,United States,Genre
Q201405,Renaissance music,1400-01-01T00:00:00Z,,Genre
Q212944,klezmer,,,Genre
Q206159,psychedelic rock,1965-01-01T00:00:00Z,United States,Genre
Q203775,swing music,1930-01-01T00:00:00Z,,Genre
Q212688,dub music,1960-01-01T00:00:00Z,Jamaica,Genre
Q213714,bluegrass music,1940-01-01T00:00:00Z,United States,Genre
Q226887,noh,,Japan,Genre
Q180268,gospel music,1600-01-01T00:00:00Z,United States,Genre
Q193207,ambient music,1967-01-01T00:00:00Z,United Kingdom,Genre
Q188450,electropop,1978-01-01T00:00:00Z,United Kingdom,Genre
Q213665,K-pop,1990-01-01T00:00:00Z,South Korea,Genre
Q187760,new wave,1976-01-01T00:00:00Z,United States,Genre
Q202925,tribal house,1988-01-01T00:00:00Z,United States,Genre
Q208239,salsa,1920-01-01T00:00:00Z,United States,Genre
Q217191,soft rock,1960-01-01T00:00:00Z,United States,Genre
Q213121,new age music,1960-01-01T00:00:00Z,United States,Genre
Q193355,blues rock,1960-01-01T00:00:00Z,United States,Genre
Q202930,reggaeton,1990-01-01T00:00:00Z,Puerto Rico,Genre
Q205560,trip hop,1992-01-01T00:00:00Z,United Kingdom,Genre
Q211573,garage rock,1960-01-01T00:00:00Z,United States,Genre
Q372103,electronic body music,1982-01-01T00:00:00Z,United Kingdom,Genre
Q134307,portrait,,,Genre
Q236932,acid rock,1965-01-01T00:00:00Z,United States,Genre
Q326478,land art,,,Genre
Q388207,African-American music,,,Genre
Q2864597,cybernetic art,1956-01-01T00:00:00Z,,Genre
Q460501,Historicism,,,Genre
Q577622,Coptic art,,,Genre
Q2316866,geometric abstraction,,,Genre
Q341395,acid techno,1988-01-01T00:00:00Z,,Genre
Q1606591,reggae fusion,1985-01-01T00:00:00Z,Jamaica,Genre
Q1621467,symphonic black metal,1990-01-01T00:00:00Z,Sweden,Genre
Q241662,groove metal,1990-01-01T00:00:00Z,United States,Genre
Q257533,music of Japan,,,Genre
Q465978,extreme metal,1977-01-01T00:00:00Z,United States,Genre
Q1636684,yé-yé,1959-01-01T00:00:00Z,Spain,Genre
Q485395,gothic rock,1979-01-01T00:00:00Z,United States,Genre
Q1147263,lyrical abstraction,1940-01-01T00:00:00Z,,Genre
Q128115,abstract art,,,Genre
Q1457753,pìobaireachd,,,Genre
Q1569950,internet art,,,Genre
Q2307786,huayno,,Viceroyalty of Peru,Genre
Q378988,adult contemporary music,1960-01-01T00:00:00Z,United States,Genre
Q235858,traditional folk music,,,Genre
Q2486179,music of Venezuela,,,Genre
