id:ID,name,birth_date,place_of_birth,occupation,:LABEL
Q181,Jimmy Wales,1966-08-07T00:00:00Z,Huntsville,merchant,Human
Q80,Tim Berners-Lee,1955-06-08T00:00:00Z,London,author,Human
Q76,Barack Obama,1961-08-04T00:00:00Z,Kapiolani Medical Center for Women and Children,podcaster,Human
Q42,Douglas Adams,1952-03-11T00:00:00Z,Cambridge,writer,Human
Q307,Galileo Galilei,1564-02-25T00:00:00Z,Pisa,politician,Human
Q303,Elvis Presley,1935-01-08T00:00:00Z,Tupelo,singer,Human
Q254,Wolfgang Amadeus Mozart,1756-01-27T00:00:00Z,Salzburg,music educator,Human
Q296,Claude Monet,1840-11-14T00:00:00Z,Paris,painter,Human
Q255,Ludwig van Beethoven,1770-12-16T00:00:00Z,Bonn,composer,Human
Q260,Jean-François Champollion,1790-12-23T00:00:00Z,Figeac,Egyptologist,Human
Q302,Jesus Christ,-0004-01-01T00:00:00Z,Bethlehem,prophet,Human
Q301,El Greco,1541-10-01T00:00:00Z,Heraklion,painter,Human
Q297,Diego Velázquez,1599-06-06T00:00:00Z,Seville,artist,Human
Q392,Bob Dylan,1941-05-24T00:00:00Z,Duluth,actor,Human
Q448,Denis Diderot,1713-10-05T00:00:00Z,Langres,translator,Human
Q410,Carl Sagan,1934-11-09T00:00:00Z,Brooklyn,cosmologist,Human
Q1290,Blaise Pascal,1623-06-19T00:00:00Z,birth house of Blaise Pascal,writer,Human
Q493,Q493,1854-10-20T00:00:00Z,Charleville,librettist,Human
Q501,Charles Baudelaire,1821-04-09T00:00:00Z,Paris,writer,Human
Q873,Meryl Streep,1949-06-22T00:00:00Z,Summit,voice actor,Human
Q882,Charlie Chaplin,1889-04-16T00:00:00Z,Walworth,comedian,Human
Q352,Adolf Hitler,1889-04-20T00:00:00Z,Braunau am Inn,Holocaust perpetrator,Human
Q377,Yanka Kupala,1882-07-07T00:00:00Z,Viazynka,translator,Human
Q409,Bob Marley,1945-02-06T00:00:00Z,Nine Mile,singer,Human
Q905,Franz Kafka,1883-07-03T00:00:00Z,Prague,jurist,Human
Q489,Bill Maher,1956-01-20T00:00:00Z,New York City,comedian,Human
Q449,Georges Brassens,1921-10-22T00:00:00Z,Sète,singer-songwriter,Human
Q892,J. R. R. Tolkien,1892-01-03T00:00:00Z,Bloemfontein,author,Human
Q720,Genghis Khan,1162-06-07T00:00:00Z,Delüün Boldog,military leader,Human
Q755,Paul Verlaine,1844-03-30T00:00:00Z,Metz,translator,Human
Q714,Stevie Wonder,1950-05-13T00:00:00Z,Saginaw,vocalist,Human
