id:ID,name,inception,country,:LABEL
Q1860,English,,New Zealand,Language
Q150,French,,United States,Language
Q143,Esperanto,1887-07-26T00:00:00Z,Esperantujo,Language
Q13324,Minangkabau,,Singapore,Language
Q13955,Arabic,,Turkey,Language
Q9240,Indonesian,,Indonesia,Language
Q9217,Thai,,Thailand,Language
Q188,German,,Belgium,Language
Q294,Icelandic,,Denmark,Language
Q256,Turkish,,Turkey,Language
Q652,Italian,,Switzerland,Language
Q9237,Malay,,Indonesia,Language
Q9205,Khmer,,Vietnam,Language
Q9264,Uzbek,,Turkey,Language
Q9610,Bangla,,India,Language
Q9288,Hebrew,-1500-01-01T00:00:00Z,Israel,Language
Q9176,Korean,,United States,Language
Q9199,Vietnamese,,Vietnam,Language
Q9186,Cantonese,,Malaysia,Language
Q13201,Romani,,Serbia,Language
Q809,Polish,,Poland,Language
Q1321,Spanish,,Spain,Language
Q1412,Finnish,,Finland,Language
Q56509,Amdo Tibetan,,People's Republic of China,Language
Q37560,Vulgar Latin,,Ancient Rome,Language
Q102172,Limburgish,,Belgium,Language
Q58635,Punjabi,,Spain,Language
Q56385,Gulf Arabic,,Kuwait,Language
Q5146,Portuguese,,Spain,Language
Q5885,Tamil,,Singapore,Language
Q5287,Japanese,,Japan,Language
Q7411,Dutch,,Belgium,Language
Q7737,Russian,,Russia,Language
Q7838,Swahili,,Democratic Republic of the Congo,Language
Q7913,Romanian,,Serbia,Language
Q8097,Telugu,,India,Language
Q8641,Yiddish,,Hungary,Language
Q9035,Danish,,Kingdom of Denmark,Language
Q9067,Hungarian,,Hungary,Language
Q9043,Norwegian,,Norway,Language
Q9027,Swedish,,Finland,Language
Q33223,Bodo,,India,Language
Q27175,West Frisian,,Netherlands,Language
Q34219,Walloon,,United States,Language
Q33728,Magahi,,India,Language
Q337657,Mon-Khmer,,,Language
Q29401,Assamese,,India,Language
Q14185,Occitan,,Spain,Language
Q33765,Nicaraguan Sign Language,1980-01-01T00:00:00Z,Nicaragua,Language
Q32724,Venetian,,Montenegro,Language
Q2044560,Sylheti,,Singapore,Language
Q33856,Papiamento,,Aruba,Language
Q33268,Bhojpuri,,India,Language
Q34057,Tagalog,,Philippines,Language
Q14759,American Sign Language,1817-01-01T00:00:00Z,United States,Language
Q33158,Chhattisgarhi,,India,Language
Q33989,Sranan Tongo,,Suriname,Language
Q33673,Kannada,,India,Language
Q33810,Odia,,India,Language
Q25289,Cornish,,United Kingdom,Language
Q33375,Hakka Chinese,,Indonesia,Language
Q34024,Picard,,Belgium,Language
Q33584,Khasi,,India,Language
Q1975271,Taivoan,,Taiwan,Language
Q27969,Ainu,,Japan,Language
Q33823,Nepali,,India,Language
Q34002,Sundanese,,Singapore,Language
Q33549,Javanese,,Singapore,Language
Q9168,Persian,,Pakistan,Language
Q9166,Maltese,,United States,Language
Q9129,Greek,,Republic of Abkhazia,Language
Q397,Latin,,Vatican City,Language
Q8141,Modern Hebrew,,Israel,Language
Q35132,Amis,,Taiwan,Language
Q35243,Braj Bhasha,,India,Language
Q12349104,Ibran,,,Language
Q12354832,Salveto,,,Language
Q12355377,Streyka,,,Language
Q12356906,Zoinx,1993-01-01T00:00:00Z,,Language
Q12353317,Novum,1994-01-01T00:00:00Z,,Language
Q12352791,Mondal,1945-01-01T00:00:00Z,,Language
Q12353885,Pluranto,1997-01-01T00:00:00Z,,Language
Q12356876,Zegzolt,2002-01-01T00:00:00Z,,Language
Q66311273,Globasa,2019-07-26T00:00:00Z,,Language
Q12346775,Edilo,1909-01-01T00:00:00Z,,Language
