:START_ID,:END_ID,:TYPE
Q251,Q2658244,INFLUENCED
Q47447,Q117748673,INFLUENCED
Q379802,Q125603,INFLUENCED
Q25649,Q5231245,INFLUENCED
Q103343,Q47663402,INFLUENCED
Q154755,Q161053,INFLUENCED
Q81847787,Q98481227,INFLUENCED
Q781443,Q24082825,INFLUENCED
Q1053643,Q2695292,INFLUENCED
Q3749980,Q100137707,INFLUENCED
Q43444,Q2844980,INFLUENCED
Q6980005,Q9089,INFLUENCED
Q15975,Q15948,INFLUENCED
Q46420,Q4164547,INFLUENCED
Q329178,Q1239933,INFLUENCED
Q3235751,Q10300427,INFLUENCED
Q1146602,Q108751752,INFLUENCED
Q7252,Q17089653,INFLUENCED
Q845449,Q122877720,INFLUENCED
Q286116,Q312995,INFLUENCED
Q229513,Q15897,INFLUENCED
Q1512,Q1030379,INFLUENCED
Q2565196,Q2511655,INFLUENCED
Q390590,Q483558,INFLUENCED
Q5593,Q120993,INFLUENCED
Q61721,Q1384983,INFLUENCED
Q128126,Q247016,INFLUENCED
Q165714,Q175097,INFLUENCED
Q30347815,Q122791012,INFLUENCED
Q1268,Q54602937,INFLUENCED
Q740803,Q6307461,INFLUENCED
Q12865240,Q16369370,INFLUENCED
Q132805,Q4975620,INFLUENCED
Q233956,Q468523,INFLUENCED
Q319268,Q17118377,INFLUENCED
Q180598,Q841514,INFLUENCED
Q392,Q1802,INFLUENCED
Q2370,Q21921428,INFLUENCED
Q123330,Q729048,INFLUENCED
Q1197407,Q131439432,INFLUENCED
Q131036,Q8069107,INFLUENCED
Q3520580,Q12224170,INFLUENCED
Q3626966,Q85951289,INFLUENCED
Q18161827,Q65969348,INFLUENCED
Q45354,Q1068713,INFLUENCED
Q47447,Q109544150,INFLUENCED
Q9327,Q441990,INFLUENCED
Q241989,Q116666282,INFLUENCED
Q6882,Q5997426,INFLUENCED
Q888487,Q10708,INFLUENCED
Q153579,Q556984,INFLUENCED
Q22907236,Q1110159,INFLUENCED
Q2695798,Q4732465,INFLUENCED
Q131149,Q114669008,INFLUENCED
Q55400,Q312525,INFLUENCED
Q148475,Q63173918,INFLUENCED
Q80113,Q94130,INFLUENCED
Q5589,Q465342,INFLUENCED
Q211029,Q2978251,INFLUENCED
Q545672,Q130943668,INFLUENCED
Q6742538,Q16013613,INFLUENCED
Q42207,Q468632,INFLUENCED
Q850412,Q123707590,INFLUENCED
Q937,Q76519,INFLUENCED
Q9316,Q2125638,INFLUENCED
Q47670,Q116115723,INFLUENCED
Q3538150,Q1191704,INFLUENCED
Q101638,Q79969,INFLUENCED
Q155538,Q125199892,INFLUENCED
Q265820,Q15997643,INFLUENCED
Q313537,Q534151,INFLUENCED
Q777358,Q207316,INFLUENCED
Q1584048,Q12017072,INFLUENCED
Q2407,Q17118377,INFLUENCED
Q220008,Q68578,INFLUENCED
Q2755833,Q96691246,INFLUENCED
Q560086,Q16015608,INFLUENCED
Q199701,Q997647,INFLUENCED
Q131285,Q318475,INFLUENCED
Q187520,Q12807,INFLUENCED
Q1512,Q365664,INFLUENCED
Q40415,Q24835995,INFLUENCED
Q332032,Q254138,INFLUENCED
Q2833411,Q20731532,INFLUENCED
Q597330,Q575650,INFLUENCED
Q201669,Q483558,INFLUENCED
Q408139,Q27593,INFLUENCED
Q110808934,Q106666926,INFLUENCED
Q1151763,Q7791985,INFLUENCED
Q12740460,Q110853255,INFLUENCED
Q162145,Q182128,INFLUENCED
Q35610,Q10356551,INFLUENCED
Q35802,Q9047,INFLUENCED
Q317040,Q20561277,INFLUENCED
Q926269,Q106388746,INFLUENCED
Q315417,Q5757516,INFLUENCED
Q532118,Q113249290,INFLUENCED
Q17304994,Q115766933,INFLUENCED
Q2142,Q58007649,INFLUENCED
Q35811,Q10261,INFLUENCED
Q9047,Q7286,INFLUENCED
Q5000863,Q39829,INFLUENCED
Q9364,Q365129,INFLUENCED
Q9759,Q1277532,INFLUENCED
Q77148,Q60025,INFLUENCED
Q494547,Q127726335,INFLUENCED
Q217298,Q25162,INFLUENCED
Q171344,Q877385,INFLUENCED
Q2061582,Q134393110,INFLUENCED
Q6691,Q533505,INFLUENCED
Q42934,Q207445,INFLUENCED
Q199125,Q126857927,INFLUENCED
Q38392,Q533505,INFLUENCED
Q153890,Q325255,INFLUENCED
Q173893,Q43977,INFLUENCED
Q294912,Q887347,INFLUENCED
Q16867,Q127149,INFLUENCED
Q407535,Q122390984,INFLUENCED
Q899215,Q124857348,INFLUENCED
Q16003730,Q7328920,INFLUENCED
Q3211285,Q132527207,INFLUENCED
Q707729,Q75563,INFLUENCED
Q822329,Q1680038,INFLUENCED
Q178598,Q136294568,INFLUENCED
Q16402,Q123284943,INFLUENCED
Q120993,Q80440,INFLUENCED
Q168172,Q960633,INFLUENCED
Q111074,Q374754,INFLUENCED
Q1712024,Q1066551,INFLUENCED
Q39837,Q1040738,INFLUENCED
Q159542,Q61650,INFLUENCED
Q449634,Q7548427,INFLUENCED
Q47871,Q47500365,INFLUENCED
Q213612,Q46998497,INFLUENCED
Q188436,Q1042397,INFLUENCED
Q256813,Q2529057,INFLUENCED
Q5597,Q6148601,INFLUENCED
Q35548,Q2581909,INFLUENCED
Q214227,Q36696806,INFLUENCED
Q525803,Q5268239,INFLUENCED
Q8739,Q7103,INFLUENCED
Q471523,Q83003,INFLUENCED
Q430182,Q355438,INFLUENCED
Q13132545,Q1244674,INFLUENCED
Q35548,Q16380772,INFLUENCED
Q34013,Q1042835,INFLUENCED
