id:ID,name,inception,:LABEL
Q889766,Brahmanism,,Ideology
Q106687,Unitarianism,,Ideology
Q425381,Hanif,,Ideology
Q9268,Judaism,-0500-01-01T00:00:00Z,Ideology
Q101849,Reformed Christianity,1519-01-11T00:00:00Z,Ideology
Q1527782,Proto-Indo-Iranian religion,,Ideology
Q194497,Historical Vedic religion,,Ideology
Q59774,Wicca,1954-01-01T00:00:00Z,Ideology
Q837605,Tengrism,,Ideology
Q42042,shamanism,,Ideology
Q9598,Taoism,,Ideology
Q9601,Zoroastrianism,,Ideology
Q9581,Confucianism,,Ideology
Q161696,Catharism,1100-01-01T00:00:00Z,Ideology
Q170208,Quakers,1652-01-01T00:00:00Z,Ideology
Q748,Buddhism,http://www.wikidata.org/.well-known/genid/773771617a6bd6932df3429addcc4dac,Ideology
Q582451,Dianic Wicca,1971-12-21T00:00:00Z,Ideology
Q9089,Hinduism,http://www.wikidata.org/.well-known/genid/12a13eb52fd0671473ebf210b3c062c6,Ideology
Q179235,phenomenology,,Ideology
Q331563,transcendentalism,,Ideology
Q131505,esotericism,,Ideology
Q207103,Constructivism,,Ideology
Q267932,Post-structuralism,,Ideology
Q460501,Historicism,,Ideology
Q192933,hermeticism,,Ideology
Q1515134,Krausism,,Ideology
Q2119946,posthumanism,,Ideology
Q2420841,Black feminism,,Ideology
Q3008160,cyberfeminism,,Ideology
Q3303170,Mazzinianism,,Ideology
Q3567204,material feminism,,Ideology
Q485459,Cynicism,,Ideology
Q17001577,decoloniality,,Ideology
Q657488,perennial philosophy,,Ideology
Q647114,postmodern philosophy,,Ideology
Q651205,sensationism,,Ideology
Q697205,Yangmingism,,Ideology
Q737560,Neo-Kantianism,,Ideology
Q854807,Christian philosophy,,Ideology
Q32411443,intersectional feminism,,Ideology
Q38066,existentialism,,Ideology
Q8069107,Zenith Applied Philosophy,1974-01-01T00:00:00Z,Ideology
Q162145,Neoplatonism,0245-01-01T00:00:00Z,Ideology
Q93191,Baptists,,Ideology
Q4743690,American Episcopal Church,1968-03-01T00:00:00Z,Ideology
Q159318,Moravian Church,,Ideology
Q1050725,Holiness movement,,Ideology
Q159108,Independent Catholicism,,Ideology
Q194253,Evangelicalism,,Ideology
Q1841,Catholicism,0033-01-01T00:00:00Z,Ideology
Q3333484,Eastern Orthodoxy,,Ideology
Q2125785,Radical Pietism,,Ideology
Q2142143,Seventh Day Baptists,,Ideology
Q2302742,British Israelism,,Ideology
Q303985,Molokans,,Ideology
Q3425524,Charismatic Christianity,,Ideology
Q23540,Protestantism,1517-11-10T00:00:00Z,Ideology
Q483978,Pentecostalism,,Ideology
Q855941,Restorationism,,Ideology
Q7049261,nondenominational Christianity,,Ideology
Q869110,New Apostolic Reformation,,Ideology
Q9592,Catholic Church,,Ideology
Q6739460,Pentecostal Assemblies of the World,1906-01-01T00:00:00Z,Ideology
Q104319,Seventh-day Adventist Church,1863-05-21T00:00:00Z,Ideology
Q1412016,Shtundists,1860-01-01T00:00:00Z,Ideology
Q585110,Stone–Campbell Movement,1832-01-01T00:00:00Z,Ideology
Q131015,positivism,,Ideology
Q829348,spiritualism,,Ideology
Q183308,New Age,,Ideology
Q178671,Theosophy,,Ideology
Q242517,Orphism,,Ideology
Q1028344,Cambridge Platonists,,Ideology
Q1547741,Group of Seven,,Ideology
Q624477,Christian Science,1866-01-01T00:00:00Z,Ideology
Q1359326,Order of Nine Angles,,Ideology
Q151843,Frankfurt School,,Ideology
Q1944060,Monarchomachs,,Ideology
Q2142745,history of religions school,,Ideology
Q327625,Theosophical Society,1875-11-17T00:00:00Z,Ideology
Q336241,Annales school,1920-01-01T00:00:00Z,Ideology
Q557532,Newlyn School,,Ideology
Q4393569,Roerichism,,Ideology
Q1972942,New York School,1950-01-01T00:00:00Z,Ideology
Q208238,Vienna Circle,1924-01-01T00:00:00Z,Ideology
Q6199,anarchism,,Ideology
Q539918,Ash'ari,0900-01-01T00:00:00Z,Ideology
Q742779,Russian formalism,1915-01-01T00:00:00Z,Ideology
Q2400211,Moorish Science Temple of America,1913-01-01T00:00:00Z,Ideology
Q133207,Muslim Brotherhood,1928-03-22T00:00:00Z,Ideology
Q940573,New Thought,1846-01-01T00:00:00Z,Ideology
Q1370167,Shakers,1740-01-01T00:00:00Z,Ideology
Q184719,anthroposophy,1913-01-01T00:00:00Z,Ideology
Q204128,Bábism,1844-05-23T00:00:00Z,Ideology
Q128267,Joseph,,Ideology
