id:ID,name,inception,country,:LABEL
Q101462,Rastafari,,,SocioPoliticalEntity
Q178598,libertarianism,,,SocioPoliticalEntity
Q7189677,Physicians for Human Rights-Israel,1988-01-01T00:00:00Z,Israel,SocioPoliticalEntity
Q1058263,Neo-Marxism,,,SocioPoliticalEntity
Q3362516,Afrofuturism,,,SocioPoliticalEntity
Q33938,Hausa people,,Mali,SocioPoliticalEntity
Q95,Google,1998-09-04T00:00:00Z,United States,SocioPoliticalEntity
Q1186113,Democratic Fraction,1901-01-01T00:00:00Z,,SocioPoliticalEntity
Q5600327,great ape personhood,2007-02-28T00:00:00Z,,SocioPoliticalEntity
Q122507357,Teckids,2013-08-10T00:00:00Z,Germany,SocioPoliticalEntity
Q11293927,Chaos Lounge,,,SocioPoliticalEntity
Q12508500,Student Regiment,,,SocioPoliticalEntity
Q275595,eco-socialism,,,SocioPoliticalEntity
Q16058160,Afrapix,1982-01-01T00:00:00Z,South Africa,SocioPoliticalEntity
Q2980151,Carrefour de l'horloge,1974-07-10T00:00:00Z,France,SocioPoliticalEntity
Q2698984,fiscal conservatism,,,SocioPoliticalEntity
Q505605,open society,,,SocioPoliticalEntity
Q72206346,solarpunk,2008-01-01T00:00:00Z,,SocioPoliticalEntity
Q108919975,Mises Caucus,2017-01-01T00:00:00Z,,SocioPoliticalEntity
Q23262642,European History/Napoleon Bonaparte and the Rise of Nationalism,,,SocioPoliticalEntity
Q852544,Négritude,,,SocioPoliticalEntity
Q854537,Marxian economics,,,SocioPoliticalEntity
Q36380,Society of Jesus,1540-01-01T00:00:00Z,,SocioPoliticalEntity
Q1745141,Fantastic Realism,1960-01-01T00:00:00Z,Germany,SocioPoliticalEntity
Q136294568,Tech Right,,,SocioPoliticalEntity
Q952745,post-anarchism,,,SocioPoliticalEntity
Q41189,Jewish Agency for Israel,1929-01-01T00:00:00Z,Israel,SocioPoliticalEntity
Q7414,The Walt Disney Company,1923-10-16T00:00:00Z,United States,SocioPoliticalEntity
Q4692,Renaissance,,,SocioPoliticalEntity
Q125983650,Baku Initiative Group,2023-07-01T00:00:00Z,,SocioPoliticalEntity
Q6186,communism,,,SocioPoliticalEntity
Q7252,feminism,,,SocioPoliticalEntity
Q7310,Nazism,,,SocioPoliticalEntity
Q7272,socialism,,,SocioPoliticalEntity
Q8461,racism,,,SocioPoliticalEntity
Q6223,fascism,,,SocioPoliticalEntity
Q6216,liberalism,,,SocioPoliticalEntity
Q6724495,Mackinac Center for Public Policy,1987-01-01T00:00:00Z,United States,SocioPoliticalEntity
Q7264,Marxism,,,SocioPoliticalEntity
Q6199,anarchism,,,SocioPoliticalEntity
Q3042087,Houthis,1994-01-01T00:00:00Z,Yemen,SocioPoliticalEntity
Q8458,human rights,,,SocioPoliticalEntity
Q12539,Age of Enlightenment,,,SocioPoliticalEntity
Q24233924,Traditionalist Worker Party,2015-01-01T00:00:00Z,United States,SocioPoliticalEntity
Q4998143,Burban,2011-01-01T00:00:00Z,,SocioPoliticalEntity
Q6034,Dada,1910-01-01T00:00:00Z,,SocioPoliticalEntity
Q123509272,effective accelerationism,2022-05-31T00:00:00Z,,SocioPoliticalEntity
Q4667901,Abiquo,2006-01-01T00:00:00Z,Spain,SocioPoliticalEntity
Q39427,Surrealism,1920-01-01T00:00:00Z,,SocioPoliticalEntity
Q23138,Chaos Computer Club,1981-09-12T00:00:00Z,Germany,SocioPoliticalEntity
Q1277639,Earth First!,1980-01-01T00:00:00Z,United States,SocioPoliticalEntity
Q1710370,Association for Civil Rights in Israel,1972-01-01T00:00:00Z,Israel,SocioPoliticalEntity
Q24835995,Q24835995,1929-01-01T00:00:00Z,Japan,SocioPoliticalEntity
Q1688348,Jesus-Bruderschaft,1964-01-01T00:00:00Z,Germany,SocioPoliticalEntity
Q5281,Yandex,2000-01-01T00:00:00Z,Russia,SocioPoliticalEntity
Q167651,Maoism,,,SocioPoliticalEntity
Q131242,Eskimo,,,SocioPoliticalEntity
Q131015,positivism,,,SocioPoliticalEntity
Q192424,anarcho-capitalism,,,SocioPoliticalEntity
Q131808,Mannerism,,,SocioPoliticalEntity
Q751880,Japonisme,,,SocioPoliticalEntity
