id:ID,name,inception,:LABEL
Q4036051,Chapel,2009-01-01T00:00:00Z,Technology
Q1852616,X10,2004-01-01T00:00:00Z,Technology
Q251,Q251,1995-01-01T00:00:00Z,Technology
Q59,Q59,1995-06-08T00:00:00Z,Technology
Q94279981,Dragon,2018-01-04T00:00:00Z,Technology
Q5501320,Frege,,Technology
Q406009,Dart,2011-10-10T00:00:00Z,Technology
Q154755,Q154755,1980-01-01T00:00:00Z,Technology
Q5587589,Gosu,2002-01-01T00:00:00Z,Technology
Q23653623,Whiley,2010-06-01T00:00:00Z,Technology
Q812964,BeanShell,1999-01-01T00:00:00Z,Technology
Q17118377,Q17118377,2014-06-02T00:00:00Z,Technology
Q3816639,Q3816639,2011-07-22T00:00:00Z,Technology
Q1138939,Vala,2006-01-01T00:00:00Z,Technology
Q263544,Common Intermediate Language,2000-01-01T00:00:00Z,Technology
Q132262426,Varphi Language,2025-01-25T00:00:00Z,Technology
Q2868806,Ateji PX,,Technology
Q65122282,JS++,2011-10-08T00:00:00Z,Technology
Q2658244,E,1997-01-01T00:00:00Z,Technology
Q25345888,Qore,,Technology
Q4053269,X++,,Technology
Q3858763,Mirah,2008-01-01T00:00:00Z,Technology
Q5250999,Deesel,,Technology
Q978185,TypeScript,2012-10-01T00:00:00Z,Technology
Q460584,Q460584,2004-01-20T00:00:00Z,Technology
Q609804,JavaFX Script,2008-01-01T00:00:00Z,Technology
Q22443688,Karel++,,Technology
Q3516674,Tea,1997-01-01T00:00:00Z,Technology
Q1040272,Monkey X,2011-01-01T00:00:00Z,Technology
Q285886,Haxe,2005-01-01T00:00:00Z,Technology
Q648124,Gambas,1999-01-01T00:00:00Z,Technology
Q5607337,Gremlin,2009-01-01T00:00:00Z,Technology
Q504453,Apache Groovy,2003-01-01T00:00:00Z,Technology
Q580448,Falcon,2003-01-01T00:00:00Z,Technology
Q513238,LOLCODE,2007-01-01T00:00:00Z,Technology
Q91440026,Chaos,,Technology
Q2005,Q2005,1996-05-01T00:00:00Z,Technology
Q4047113,Pnuts,1997-01-01T00:00:00Z,Technology
Q2370,Q2370,2001-01-01T00:00:00Z,Technology
Q6268991,Join Java,2000-01-01T00:00:00Z,Technology
Q15971618,Hack,2014-01-01T00:00:00Z,Technology
Q319268,D,2001-12-08T00:00:00Z,Technology
Q234657,ActionScript,1998-01-01T00:00:00Z,Technology
Q51160183,Ballerina,2017-01-01T00:00:00Z,Technology
Q3068804,Ferite,2000-01-01T00:00:00Z,Technology
Q93482,Ceylon,2011-01-01T00:00:00Z,Technology
Q3354460,OptimJ,2006-01-01T00:00:00Z,Technology
Q1053535,Processing,2001-01-01T00:00:00Z,Technology
Q1186348,Seed7,2005-01-01T00:00:00Z,Technology
Q2407,Q2407,1983-01-01T00:00:00Z,Technology
Q2378,Visual Basic,1991-01-01T00:00:00Z,Technology
Q5288,Tcl,1988-01-01T00:00:00Z,Technology
Q113157814,Carbon,2020-04-27T00:00:00Z,Technology
Q21921428,Crystal,2014-01-01T00:00:00Z,Technology
Q1167341,Basic For Qt,,Technology
Q1807379,Game Maker Language,1999-01-01T00:00:00Z,Technology
Q892948,Boo,2003-01-01T00:00:00Z,Technology
Q18965699,Cilk++,2008-12-01T00:00:00Z,Technology
Q20080327,Nim,2008-01-01T00:00:00Z,Technology
Q10352265,Powerscript,1992-07-01T00:00:00Z,Technology
Q648619,F#,2005-01-01T00:00:00Z,Technology
Q22709094,HolyC,,Technology
Q575650,Q575650,2006-01-01T00:00:00Z,Technology
Q7585520,urbiscript,,Technology
Q15241057,Wolfram Language,1988-01-01T00:00:00Z,Technology
Q207316,Lua,1993-01-01T00:00:00Z,Technology
Q621618,ATS,2006-01-01T00:00:00Z,Technology
Q285756,Incr Tcl,1993-01-01T00:00:00Z,Technology
Q1648571,PowerBASIC,1989-01-01T00:00:00Z,Technology
Q42478,Q42478,1987-01-01T00:00:00Z,Technology
Q84104242,Beef,,Technology
